"STAT.","SCAN TIME","CLUSTER","NAMESPACE","WORKLOAD","CONTAINER NAME","REGISTRY","IMAGE TAG","RELEVANT","CRITICAL","HIGH","MEDIUM","LOW","NEGLIGIBLE","UNKNOWN"
"Success","Jan 4, 2024, 8:45:59 AM","vdb-core-digital-k8s-prod","meterreading","pod-sparkplug-connections-sync-1704348018897809327-84eb068cd30f192a-exec-6","spark-kubernetes-executor","bigdataregistry.azurecr.io","bigdataregistry.azurecr.io/sparkplug:20240103-12146",790,140,399,236,55,73,5
"Success","Jan 4, 2024, 8:39:42 AM","vdb-core-digital-k8s-prod","meterreading","pod-sparkplug-connections-sync-1704348018897809327-driver","spark-kubernetes-driver","bigdataregistry.azurecr.io","bigdataregistry.azurecr.io/sparkplug:20240103-12146",790,140,399,236,55,73,5
"Success","Jan 4, 2024, 8:39:13 AM","vdb-core-digital-k8s-prod","meterreading","pod-sparkplug-connections-sync-with-anomalies-1703934017003362460-driver","spark-kubernetes-driver","bigdataregistry.azurecr.io","bigdataregistry.azurecr.io/sparkplug:20231222-12766",787,140,396,236,55,73,5
"Success","Jan 4, 2024, 4:24:03 PM","vdb-core-digital-k8s-prod","meterreading","pod-sparkplug-connections-sync-with-anomalies-1703934017003362460-7896428cba61ec4c-exec-24","spark-kubernetes-executor","bigdataregistry.azurecr.io","bigdataregistry.azurecr.io/sparkplug:20231222-12766",783,140,396,236,55,73,5
"Success","Jan 4, 2024, 2:43:44 PM","vdb-core-digital-k8s-prod","airbyte","pod-destination-snowflake-write-8761-0-muniq","main","docker.io","docker.io/airbyte/destination-snowflake:1.0.6",375,46,245,226,43,0,0
"Success","Jan 4, 2024, 1:43:06 PM","vdb-core-digital-k8s-prod","airbyte","pod-destination-snowflake-write-8759-0-txmhp","main","docker.io","docker.io/airbyte/destination-snowflake:1.0.6",375,46,245,226,43,0,0
"Success","Jan 4, 2024, 12:53:42 PM","vdb-core-digital-k8s-prod","airbyte","pod-destination-snowflake-write-8758-0-lxruq","main","docker.io","docker.io/airbyte/destination-snowflake:1.0.6",375,46,245,226,43,0,0
"Success","Jan 4, 2024, 8:46:42 AM","vdb-core-digital-k8s-prod","airbyte","pod-destination-snowflake-write-8748-0-dwyym","main","docker.io","docker.io/airbyte/destination-snowflake:1.0.6",375,46,245,226,43,0,0
"Success","Jan 4, 2024, 6:30:17 AM","vdb-core-digital-k8s-prod","airbyte","pod-destination-snowflake-write-8742-0-uviip","main","docker.io","docker.io/airbyte/destination-snowflake:1.0.6",375,46,245,226,43,0,0
"Success","Jan 4, 2024, 5:53:24 AM","vdb-core-digital-k8s-prod","airbyte","pod-destination-snowflake-write-8740-0-nbcgx","main","docker.io","docker.io/airbyte/destination-snowflake:1.0.6",375,46,245,226,43,0,0
